#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
970470300	0	0	0	0	0	0	0.0	13.8
970470600	0	0	0	0	0	0	0.0	13.8
970470900	0	0	0	0	0	0	0.4	13.8
970471200	0	0	0	0	0	0	0.0	13.7
970471500	0	0	0	0	0	0	0.0	13.7
970471800	0	0	0	0	0	0	0.0	13.6
970472100	0	0	0	0	0	0	0.0	13.3
970472400	0	0	0	0	0	0	0.0	13.2
970472700	0	0	0	0	0	0	0.0	13.4
970473000	0	0	0	0	0	0	0.0	13.4
970473300	0	0	0	0	0	0	0.0	13.5
970473600	0	0	0	0	0	0	0.0	13.6
970473900	0	0	0	0	0	0	0.0	13.6
970474200	0	0	0	0	0	0	0.0	13.4
970474500	0	0	0	0	0	0	0.0	13.5
970474800	0	0	0	0	0	0	0.0	13.7
970475100	0	0	0	0	0	0	0.0	13.7
970475400	0	0	0	0	0	0	0.0	13.8
970475700	0	0	0	0	0	0	0.0	13.8
970476000	0	0	0	0	0	0	0.0	13.9
970476300	0	0	0	0	0	0	0.1	14.0
970476600	0	0	0	0	0	0	0.0	14.3
970476900	0	0	0	0	0	0	0.0	14.1
970477200	0	0	0	0	0	0	0.0	14.1
970477500	0	0	0	0	0	0	0.0	14.1
970477800	0	0	0	0	0	0	0.1	14.1
970478100	0	0	0	0	0	0	0.1	14.4
970478400	0	0	0	0	0	0	0.1	14.4
970478700	0	0	0	0	0	0	0.1	14.6
970479000	0	0	0	0	0	0	0.1	14.6
970479300	0	0	0	0	0	0	0.1	14.5
970479600	0	0	0	0	0	0	0.1	14.5
970479900	0	0	0	0	0	0	0.0	14.4
970480200	0	0	0	0	0	0	0.0	14.3
970480500	0	0	0	0	0	0	0.3	14.3
970480800	0	0	0	0	0	0	0.1	14.2
970481100	0	0	0	0	0	0	0.1	14.1
970481400	0	0	0	0	0	0	0.1	14.1
970481700	0	0	0	0	0	0	0.1	13.9
970482000	0	0	0	0	0	0	0.1	13.8
970482300	0	0	0	0	0	0	0.0	13.8
970482600	0	0	0	0	0	0	0.0	13.7
970482900	0	0	0	0	0	0	0.0	13.6
970483200	0	0	0	0	0	0	0.0	13.6
970483500	0	0	0	0	0	0	0.0	13.6
970483800	0	0	0	0	0	0	0.0	13.5
970484100	0	0	0	0	0	0	0.0	13.4
970484400	0	0	0	0	0	0	0.0	13.3
970484700	0	0	0	0	0	0	0.0	13.3
970485000	0	0	0	0	0	0	0.0	13.3
970485300	0	0	0	0	0	0	0.0	13.2
970485600	0	0	0	0	0	0	0.0	13.2
970485900	0	0	0	0	0	0	0.0	13.2
970486200	0	0	0	0	0	0	0.0	13.1
970486500	0	0	0	0	0	0	0.0	13.1
970486800	0	0	0	0	0	0	0.0	13.0
970487100	0	0	0	0	0	0	0.0	13.0
970487400	0	0	0	0	0	0	0.0	13.0
970487700	0	0	0	0	0	0	0.0	12.9
970488000	0	0	0	0	0	0	0.0	12.8
970488300	0	0	0	0	0	0	0.0	12.7
970488600	0	0	0	0	0	0	0.0	12.6
970488900	0	0	0	0	0	0	0.0	12.5
970489200	0	0	0	0	0	0	0.0	12.4
970489500	0	0	0	0	0	0	0.0	12.4
970489800	0	0	0	0	0	0	0.0	12.3
970490100	0	0	0	0	0	0	0.0	12.1
970490400	0	0	0	0	0	0	0.0	12.2
970490700	0	0	0	0	0	0	0.0	12.1
970491000	0	0	0	0	0	0	0.0	12.1
970491300	0	0	0	0	0	0	0.0	12.0
970491600	0	0	0	0	0	0	0.0	12.0
970491900	1	0	1	1	0	0	0.0	12.1
970492200	2	0	2	2	0	0	0.0	12.1
970492500	2	0	2	3	0	0	0.0	12.3
970492800	3	0	3	3	0	0	0.0	12.3
970493100	4	0	4	4	0	0	0.0	12.3
970493400	5	0	5	6	0	0	0.0	12.3
970493700	7	2	7	7	0	0	0.0	12.4
970494000	10	0	10	10	0	0	0.0	12.4
970494300	15	0	15	16	0	0	0.0	12.4
970494600	28	5	27	31	0	0	0.0	12.4
970494900	35	0	35	35	0	0	0.0	12.4
970495200	44	9	43	47	0	0	0.0	12.5
970495500	51	34	46	63	0	0	0.0	12.5
970495800	57	62	47	52	0	0	0.0	12.7
970496100	51	3	50	53	0	0	0.0	12.8
970496400	69	5	68	74	39	0	0.0	12.7
970496700	102	4	101	112	269	0	0.0	12.9
970497000	172	153	138	201	638	0	0.0	13.2
970497300	189	449	83	246	520	0	0.1	13.4
970497600	224	666	57	258	649	0	0.2	13.5
970497900	154	361	57	226	610	0	0.1	13.7
970498200	141	206	84	133	325	0	0.1	13.8
970498500	119	52	103	150	474	0	0.1	13.5
970498800	142	48	128	145	497	0	0.0	13.6
970499100	126	0	125	127	390	0	0.1	13.4
970499400	129	1	129	138	449	0	0.2	13.5
970499700	152	3	151	156	565	0	0.2	13.7
970500000	158	1	158	161	593	0	0.1	13.9
970500300	179	1	178	178	702	0	0.0	14.2
970500600	190	0	190	193	792	0	0.1	14.3
970500900	208	2	207	212	888	0	0.4	14.1
970501200	213	0	212	214	934	0	0.0	14.3
970501500	203	3	201	216	944	0	0.0	14.5
970501800	241	98	198	307	1515	0	0.0	14.8
970502100	384	584	120	529	2923	0	0.0	15.7
970502400	436	839	48	568	3139	0	0.0	15.3
970502700	450	858	44	585	3216	0	0.1	16.3
970503000	462	865	43	598	3299	0	0.2	16.5
970503300	483	867	53	609	3356	0	0.4	15.9
970503600	259	355	79	337	1665	0	0.0	15.8
970503900	457	788	50	574	3202	0	0.5	16.0
970504200	506	881	42	651	3640	0	0.3	16.1
970504500	517	885	42	663	3677	0	0.3	16.7
970504800	525	888	40	674	3745	0	0.5	16.4
970505100	545	890	50	698	3876	0	0.5	16.6
970505400	548	890	46	701	3880	0	0.7	16.5
970505700	561	900	45	717	3979	0	0.3	16.6
970506000	568	901	44	727	4012	0	0.4	16.9
970506300	576	905	43	737	4065	0	0.3	16.9
970506600	587	909	44	748	4118	0	0.7	17.2
970506900	597	909	47	759	4174	0	0.6	17.2
970507200	577	852	56	733	4024	0	0.2	17.1
970507500	618	916	51	781	4298	0	0.6	17.1
970507800	621	891	64	779	4250	0	0.4	17.1
970508100	608	841	77	740	4047	0	0.5	17.2
970508400	604	840	68	781	4284	0	0.6	17.2
970508700	642	911	56	801	4395	0	0.1	17.9
970509000	651	915	58	821	4466	0	0.4	17.8
970509300	679	926	75	848	4629	0	0.5	18.2
970509600	692	888	108	847	4548	0	0.1	18.4
970509900	701	831	151	823	4395	0	0.4	18.4
970510200	602	589	210	709	3767	0	0.7	18.7
